epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
77,714.932,0.04469,0.99533,1,0.01631,0.0004984,0.0004984,0.0004984
78,724.274,0.03349,0.99533,0.99844,0.02447,0.0004918,0.0004918,0.0004918
79,733.697,0.02431,0.99533,1,0.02081,0.0004852,0.0004852,0.0004852
80,743.015,0.03361,0.99533,1,0.01516,0.0004786,0.0004786,0.0004786
81,752.779,0.03219,0.99688,1,0.00524,0.000472,0.000472,0.000472
82,761.663,0.04024,0.99688,1,0.00595,0.0004654,0.0004654,0.0004654
83,770.969,0.03649,0.99844,1,0.00715,0.0004588,0.0004588,0.0004588
84,780.413,0.03405,0.99844,1,0.00755,0.0004522,0.0004522,0.0004522
85,789.944,0.03136,0.99377,1,0.02401,0.0004456,0.0004456,0.0004456
86,799.015,0.03308,0.99688,1,0.01471,0.000439,0.000439,0.000439
87,808.284,0.04631,0.99377,1,0.02,0.0004324,0.0004324,0.0004324
88,817.303,0.03939,0.99533,1,0.02158,0.0004258,0.0004258,0.0004258
89,826.547,0.02907,0.99533,1,0.01281,0.0004192,0.0004192,0.0004192
90,835.625,0.03784,0.99533,1,0.00927,0.0004126,0.0004126,0.0004126
91,844.784,0.03022,0.99688,1,0.01163,0.000406,0.000406,0.000406
92,854.389,0.04206,0.99844,1,0.01273,0.0003994,0.0003994,0.0003994
93,863.961,0.03359,0.99844,1,0.01097,0.0003928,0.0003928,0.0003928
94,872.808,0.03116,0.99844,1,0.01478,0.0003862,0.0003862,0.0003862
95,882.045,0.02466,0.99688,1,0.01682,0.0003796,0.0003796,0.0003796
96,891.123,0.02663,0.99688,1,0.01324,0.000373,0.000373,0.000373
97,900.391,0.02042,0.99844,1,0.0116,0.0003664,0.0003664,0.0003664
98,910.034,0.02143,0.99844,1,0.01302,0.0003598,0.0003598,0.0003598
99,919.588,0.0154,0.99844,1,0.00954,0.0003532,0.0003532,0.0003532
100,928.86,0.02433,0.99844,1,0.00984,0.0003466,0.0003466,0.0003466
101,938.142,0.0209,0.99688,1,0.01109,0.00034,0.00034,0.00034
102,947.404,0.03092,0.99533,1,0.01452,0.0003334,0.0003334,0.0003334
103,956.633,0.03145,0.99688,1,0.01298,0.0003268,0.0003268,0.0003268
104,966.186,0.02302,0.99377,0.99844,0.02836,0.0003202,0.0003202,0.0003202
105,975.253,0.03515,0.99844,1,0.22844,0.0003136,0.0003136,0.0003136
106,984.459,0.01706,0.99533,1,0.01565,0.000307,0.000307,0.000307
107,993.42,0.02003,0.99688,1,0.01731,0.0003004,0.0003004,0.0003004
108,1002.55,0.02205,0.99688,0.99844,0.01627,0.0002938,0.0002938,0.0002938
109,1011.56,0.01243,0.99377,1,0.01873,0.0002872,0.0002872,0.0002872
110,1020.61,0.01737,0.99377,1,0.02003,0.0002806,0.0002806,0.0002806
111,1030.18,0.01214,0.99533,1,0.01598,0.000274,0.000274,0.000274
112,1039.3,0.01554,0.99688,1,0.01507,0.0002674,0.0002674,0.0002674
113,1048.44,0.01165,0.99377,1,0.01895,0.0002608,0.0002608,0.0002608
114,1057.52,0.02011,0.99377,1,0.01878,0.0002542,0.0002542,0.0002542
115,1066.62,0.01144,0.99533,1,0.01824,0.0002476,0.0002476,0.0002476
116,1075.9,0.0101,0.99377,1,0.01982,0.000241,0.000241,0.000241
117,1084.96,0.00986,0.99377,1,0.01875,0.0002344,0.0002344,0.0002344
118,1094.28,0.01081,0.99533,1,0.01692,0.0002278,0.0002278,0.0002278
119,1103.57,0.01025,0.99533,1,0.01788,0.0002212,0.0002212,0.0002212
