epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
76,710.773,0.03555,0.99533,1,0.01571,0.000505,0.000505,0.000505
77,719.902,0.0353,0.99688,1,0.01382,0.0004984,0.0004984,0.0004984
78,729.126,0.04207,0.99688,1,0.01827,0.0004918,0.0004918,0.0004918
79,738.526,0.03285,0.99533,0.99844,0.01848,0.0004852,0.0004852,0.0004852
80,748.072,0.02972,0.99533,0.99844,0.01564,0.0004786,0.0004786,0.0004786
81,757.917,0.02136,0.99688,1,0.01677,0.000472,0.000472,0.000472
82,767.283,0.02924,0.99533,1,0.02158,0.0004654,0.0004654,0.0004654
83,776.614,0.03068,0.99688,1,0.01166,0.0004588,0.0004588,0.0004588
84,786.124,0.02787,0.99533,1,0.0171,0.0004522,0.0004522,0.0004522
85,795.464,0.0368,0.99533,1,0.01775,0.0004456,0.0004456,0.0004456
86,805.042,0.02569,0.99533,0.99844,0.01457,0.000439,0.000439,0.000439
87,814.289,0.02347,0.99688,1,0.01454,0.0004324,0.0004324,0.0004324
88,823.412,0.01699,0.99688,1,0.01413,0.0004258,0.0004258,0.0004258
89,832.819,0.02827,0.99377,1,0.01358,0.0004192,0.0004192,0.0004192
90,842.156,0.02674,0.99377,0.99844,0.01363,0.0004126,0.0004126,0.0004126
91,851.684,0.01636,0.99844,0.99844,0.01232,0.000406,0.000406,0.000406
92,861.181,0.02069,0.99533,0.99844,0.01674,0.0003994,0.0003994,0.0003994
93,870.957,0.03173,0.99377,1,0.02029,0.0003928,0.0003928,0.0003928
94,880.569,0.01783,0.99377,1,0.01922,0.0003862,0.0003862,0.0003862
95,889.625,0.01861,0.99844,1,0.01258,0.0003796,0.0003796,0.0003796
96,898.836,0.02783,0.99844,1,0.01436,0.000373,0.000373,0.000373
97,908.248,0.00905,0.99688,1,0.0142,0.0003664,0.0003664,0.0003664
98,917.9,0.02275,0.99533,1,0.01205,0.0003598,0.0003598,0.0003598
99,926.96,0.01429,0.99688,1,0.02026,0.0003532,0.0003532,0.0003532
100,936.384,0.01627,0.99688,1,0.02218,0.0003466,0.0003466,0.0003466
101,945.759,0.0197,0.99688,1,0.01097,0.00034,0.00034,0.00034
102,954.994,0.01822,0.99688,1,0.02129,0.0003334,0.0003334,0.0003334
103,964.438,0.03064,0.99688,1,0.01381,0.0003268,0.0003268,0.0003268
104,974.122,0.01611,0.99688,0.99844,0.01632,0.0003202,0.0003202,0.0003202
105,983.266,0.01382,0.99688,0.99844,0.16357,0.0003136,0.0003136,0.0003136
106,992.668,0.01321,0.99688,0.99844,0.01514,0.000307,0.000307,0.000307
107,1001.57,0.01146,0.99688,0.99844,0.01949,0.0003004,0.0003004,0.0003004
108,1010.81,0.01508,0.99688,1,0.01163,0.0002938,0.0002938,0.0002938
109,1020.08,0.01447,0.99533,1,0.01923,0.0002872,0.0002872,0.0002872
110,1029.65,0.01752,0.99533,1,0.01755,0.0002806,0.0002806,0.0002806
111,1038.79,0.02623,0.99377,1,0.01762,0.000274,0.000274,0.000274
112,1048.07,0.01616,0.99533,1,0.01733,0.0002674,0.0002674,0.0002674
113,1057.6,0.01669,0.99377,0.99844,0.02134,0.0002608,0.0002608,0.0002608
114,1067.23,0.00621,0.99221,0.99844,0.02582,0.0002542,0.0002542,0.0002542
115,1076.29,0.017,0.99533,1,0.01318,0.0002476,0.0002476,0.0002476
116,1085.68,0.00986,0.99533,1,0.01683,0.000241,0.000241,0.000241
117,1094.85,0.0154,0.99533,1,0.01051,0.0002344,0.0002344,0.0002344
118,1104.4,0.01119,0.99688,1,0.01141,0.0002278,0.0002278,0.0002278
119,1113.58,0.01239,0.99533,0.99844,0.01901,0.0002212,0.0002212,0.0002212
120,1123.03,0.00768,0.99533,0.99844,0.02169,0.0002146,0.0002146,0.0002146
121,1132.22,0.01421,0.99533,0.99844,0.025,0.000208,0.000208,0.000208
122,1141.72,0.01071,0.99533,0.99844,0.02388,0.0002014,0.0002014,0.0002014
123,1150.68,0.01089,0.99377,0.99844,0.02839,0.0001948,0.0001948,0.0001948
